objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Impacted_Buildings_[#],D,average,100,7,1000.0,0.25,00_00_07_00
Impacted_Buildings_[#],D,average,100,9,660.0,0.17,00_00_09_00
Impacted_Buildings_[#],D,average,100,11,2550.0,0.65,00_00_11_00
Impacted_Buildings_[#],D,average,100,13,2130.0,0.54,00_00_13_00
Impacted_Buildings_[#],D&G,average,20,0,680.0,0.93,00_00_00_00
Impacted_Buildings_[#],D&G,average,20,1,670.0,0.9,00_00_01_00
Impacted_Buildings_[#],D&G,average,20,3,640.0,0.86,00_00_03_00
Impacted_Buildings_[#],D&G,average,20,5,210.0,0.28,00_00_05_00
Impacted_Buildings_[#],D&G,average,20,7,240.0,0.32,00_00_07_00
Impacted_Buildings_[#],D&G,average,20,9,210.0,0.28,00_00_09_00
Impacted_Buildings_[#],D&G,average,20,11,680.0,0.93,00_00_11_00
Impacted_Buildings_[#],D&G,average,20,13,620.0,0.84,00_00_13_00
Impacted_Buildings_[#],D&G,average,60,0,2310.0,0.85,00_00_00_00
Impacted_Buildings_[#],D&G,average,60,1,1960.0,0.72,00_00_01_00
Impacted_Buildings_[#],D&G,average,60,3,1910.0,0.7,00_00_03_00
Impacted_Buildings_[#],D&G,average,60,5,760.0,0.28,00_00_05_00
Impacted_Buildings_[#],D&G,average,60,7,970.0,0.35,00_00_07_00
Impacted_Buildings_[#],D&G,average,60,9,710.0,0.26,00_00_09_00
Impacted_Buildings_[#],D&G,average,60,11,2090.0,0.77,00_00_11_00
Impacted_Buildings_[#],D&G,average,60,13,1860.0,0.69,00_00_13_00
Impacted_Buildings_[#],D&G,average,100,0,3690.0,0.76,00_00_00_00
Impacted_Buildings_[#],D&G,average,100,1,2230.0,0.46,00_00_01_00
Impacted_Buildings_[#],D&G,average,100,3,2180.0,0.45,00_00_03_00
Impacted_Buildings_[#],D&G,average,100,5,800.0,0.16,00_00_05_00
Impacted_Buildings_[#],D&G,average,100,7,1030.0,0.21,00_00_07_00
Impacted_Buildings_[#],D&G,average,100,9,710.0,0.15,00_00_09_00
Impacted_Buildings_[#],D&G,average,100,11,2710.0,0.56,00_00_11_00
Impacted_Buildings_[#],D&G,average,100,13,2260.0,0.46,00_00_13_00
Impacted_Buildings_[#],D&G&Wp,average,20,0,740.0,0.94,00_00_00_00
Impacted_Buildings_[#],D&G&Wp,average,20,1,720.0,0.92,00_00_01_00
