objective_parameter,scenario_of_interest,robustness_metric,year,drought_shp,Value,normalized_values,pw_combi
Shipping_Costs_[MEUR],G&Wp,average,60,5,1120.0,0.52,00_00_00_05
Shipping_Costs_[MEUR],G&Wp,average,60,7,1980.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],G&Wp,average,60,8,1980.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],G&Wp,average,60,9,1980.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],G&Wp,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],G&Wp,average,100,1,2010.0,0.61,00_00_00_01
Shipping_Costs_[MEUR],G&Wp,average,100,2,1230.0,0.37,00_00_00_02
Shipping_Costs_[MEUR],G&Wp,average,100,4,1280.0,0.39,00_00_00_04
Shipping_Costs_[MEUR],G&Wp,average,100,5,1780.0,0.54,00_00_00_05
Shipping_Costs_[MEUR],G&Wp,average,100,7,2720.0,0.82,00_00_00_07
Shipping_Costs_[MEUR],G&Wp,average,100,8,2720.0,0.82,00_00_00_08
Shipping_Costs_[MEUR],G&Wp,average,100,9,2720.0,0.82,00_00_00_09
Shipping_Costs_[MEUR],Wp,average,20,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],Wp,average,20,1,650.0,0.5,00_00_00_01
Shipping_Costs_[MEUR],Wp,average,20,2,20.0,0.01,00_00_00_02
Shipping_Costs_[MEUR],Wp,average,20,4,50.0,0.03,00_00_00_04
Shipping_Costs_[MEUR],Wp,average,20,5,50.0,0.03,00_00_00_05
Shipping_Costs_[MEUR],Wp,average,20,7,1240.0,0.95,00_00_00_07
Shipping_Costs_[MEUR],Wp,average,20,8,1240.0,0.95,00_00_00_08
Shipping_Costs_[MEUR],Wp,average,20,9,1240.0,0.95,00_00_00_09
Shipping_Costs_[MEUR],Wp,average,60,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],Wp,average,60,1,1710.0,0.79,00_00_00_01
Shipping_Costs_[MEUR],Wp,average,60,2,1440.0,0.67,00_00_00_02
Shipping_Costs_[MEUR],Wp,average,60,4,1440.0,0.67,00_00_00_04
Shipping_Costs_[MEUR],Wp,average,60,5,1650.0,0.77,00_00_00_05
Shipping_Costs_[MEUR],Wp,average,60,7,1990.0,0.92,00_00_00_07
Shipping_Costs_[MEUR],Wp,average,60,8,1990.0,0.92,00_00_00_08
Shipping_Costs_[MEUR],Wp,average,60,9,1990.0,0.92,00_00_00_09
Shipping_Costs_[MEUR],Wp,average,100,0,0.0,0.0,00_00_00_00
Shipping_Costs_[MEUR],Wp,average,100,1,2460.0,0.75,00_00_00_01
Shipping_Costs_[MEUR],Wp,average,100,2,2300.0,0.69,00_00_00_02
Shipping_Costs_[MEUR],Wp,average,100,4,2300.0,0.69,00_00_00_04
Shipping_Costs_[MEUR],Wp,average,100,5,2500.0,0.76,00_00_00_05
Shipping_Costs_[MEUR],Wp,average,100,7,2730.0,0.83,00_00_00_07
Shipping_Costs_[MEUR],Wp,average,100,8,2730.0,0.83,00_00_00_08
Shipping_Costs_[MEUR],Wp,average,100,9,2730.0,0.83,00_00_00_09
