objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Structural_Damage,G,average,20,01,705.21,0.88,00_00_01_00
Municipality_Structural_Damage,G,average,20,03,671.6,0.85,00_00_03_00
Municipality_Structural_Damage,G,average,20,05,220.34,0.28,00_00_05_00
Municipality_Structural_Damage,G,average,20,07,245.1,0.31,00_00_07_00
Municipality_Structural_Damage,G,average,20,09,220.34,0.28,00_00_09_00
Municipality_Structural_Damage,G,average,20,11,721.73,0.91,00_00_11_00
Municipality_Structural_Damage,G,average,20,13,654.57,0.82,00_00_13_00
Municipality_Structural_Damage,G,average,60,00,2547.56,0.83,00_00_00_00
Municipality_Structural_Damage,G,average,60,01,2143.16,0.7,00_00_01_00
Municipality_Structural_Damage,G,average,60,03,2091.88,0.68,00_00_03_00
Municipality_Structural_Damage,G,average,60,05,810.31,0.27,00_00_05_00
Municipality_Structural_Damage,G,average,60,07,1018.25,0.33,00_00_07_00
Municipality_Structural_Damage,G,average,60,09,766.51,0.25,00_00_09_00
Municipality_Structural_Damage,G,average,60,11,2290.09,0.75,00_00_11_00
Municipality_Structural_Damage,G,average,60,13,2052.97,0.67,00_00_13_00
Municipality_Structural_Damage,G,average,100,00,4168.79,0.72,00_00_00_00
Municipality_Structural_Damage,G,average,100,01,2399.32,0.42,00_00_01_00
Municipality_Structural_Damage,G,average,100,03,2345.86,0.4,00_00_03_00
Municipality_Structural_Damage,G,average,100,05,857.34,0.15,00_00_05_00
Municipality_Structural_Damage,G,average,100,07,1060.84,0.18,00_00_07_00
Municipality_Structural_Damage,G,average,100,09,766.51,0.13,00_00_09_00
Municipality_Structural_Damage,G,average,100,11,2856.36,0.49,00_00_11_00
Municipality_Structural_Damage,G,average,100,13,2385.66,0.41,00_00_13_00
Municipality_Structural_Damage,G&Wp,average,20,00,783.05,0.94,00_00_00_00
Municipality_Structural_Damage,G&Wp,average,20,01,761.24,0.91,00_00_01_00
Municipality_Structural_Damage,G&Wp,average,20,03,725.33,0.86,00_00_03_00
Municipality_Structural_Damage,G&Wp,average,20,05,220.55,0.26,00_00_05_00
Municipality_Structural_Damage,G&Wp,average,20,07,245.32,0.29,00_00_07_00
Municipality_Structural_Damage,G&Wp,average,20,09,220.55,0.26,00_00_09_00
Municipality_Structural_Damage,G&Wp,average,20,11,781.41,0.94,00_00_11_00
Municipality_Structural_Damage,G&Wp,average,20,13,717.52,0.86,00_00_13_00
Municipality_Structural_Damage,G&Wp,average,60,00,3007.35,0.8,00_00_00_00
Municipality_Structural_Damage,G&Wp,average,60,01,2512.43,0.67,00_00_01_00
Municipality_Structural_Damage,G&Wp,average,60,03,2454.06,0.66,00_00_03_00
Municipality_Structural_Damage,G&Wp,average,60,05,898.19,0.24,00_00_05_00
Municipality_Structural_Damage,G&Wp,average,60,07,1113.92,0.3,00_00_07_00
Municipality_Structural_Damage,G&Wp,average,60,09,842.74,0.23,00_00_09_00
Municipality_Structural_Damage,G&Wp,average,60,11,2712.04,0.73,00_00_11_00
Municipality_Structural_Damage,G&Wp,average,60,13,2350.52,0.63,00_00_13_00
Municipality_Structural_Damage,G&Wp,average,100,00,4773.83,0.59,00_00_00_00
Municipality_Structural_Damage,G&Wp,average,100,01,2685.5,0.33,00_00_01_00
Municipality_Structural_Damage,G&Wp,average,100,03,2626.05,0.33,00_00_03_00
Municipality_Structural_Damage,G&Wp,average,100,05,940.6,0.12,00_00_05_00
Municipality_Structural_Damage,G&Wp,average,100,07,1158.96,0.15,00_00_07_00
Municipality_Structural_Damage,G&Wp,average,100,09,862.37,0.11,00_00_09_00
Municipality_Structural_Damage,G&Wp,average,100,11,3213.12,0.4,00_00_11_00
Municipality_Structural_Damage,G&Wp,average,100,13,2603.17,0.32,00_00_13_00
Municipality_Structural_Damage,Wp,average,20,00,843.21,0.96,00_00_00_00
Municipality_Structural_Damage,Wp,average,20,01,817.28,0.93,00_00_01_00
Municipality_Structural_Damage,Wp,average,20,03,779.06,0.88,00_00_03_00
Municipality_Structural_Damage,Wp,average,20,05,220.76,0.25,00_00_05_00
Municipality_Structural_Damage,Wp,average,20,07,245.55,0.28,00_00_07_00
Municipality_Structural_Damage,Wp,average,20,09,220.76,0.25,00_00_09_00
Municipality_Structural_Damage,Wp,average,20,11,841.09,0.96,00_00_11_00
Municipality_Structural_Damage,Wp,average,20,13,780.48,0.89,00_00_13_00
Municipality_Structural_Damage,Wp,average,60,00,3467.13,0.78,00_00_00_00
Municipality_Structural_Damage,Wp,average,60,01,2881.7,0.66,00_00_01_00
Municipality_Structural_Damage,Wp,average,60,03,2816.25,0.64,00_00_03_00
Municipality_Structural_Damage,Wp,average,60,05,986.07,0.22,00_00_05_00
Municipality_Structural_Damage,Wp,average,60,07,1209.59,0.27,00_00_07_00
Municipality_Structural_Damage,Wp,average,60,09,918.96,0.21,00_00_09_00
Municipality_Structural_Damage,Wp,average,60,11,3133.98,0.71,00_00_11_00
Municipality_Structural_Damage,Wp,average,60,13,2648.07,0.6,00_00_13_00
Municipality_Structural_Damage,Wp,average,100,00,5378.88,0.52,00_00_00_00
Municipality_Structural_Damage,Wp,average,100,01,2971.68,0.29,00_00_01_00
Municipality_Structural_Damage,Wp,average,100,03,2906.24,0.28,00_00_03_00
Municipality_Structural_Damage,Wp,average,100,05,1023.86,0.1,00_00_05_00
Municipality_Structural_Damage,Wp,average,100,07,1257.08,0.12,00_00_07_00
Municipality_Structural_Damage,Wp,average,100,09,958.24,0.09,00_00_09_00
Municipality_Structural_Damage,Wp,average,100,11,3569.89,0.35,00_00_11_00
Municipality_Structural_Damage,Wp,average,100,13,2820.68,0.28,00_00_13_00
