objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Structural_Damage,G&Wp,average,20,07,243.44,0.29,00_00_07_00
Municipality_Structural_Damage,G&Wp,average,20,09,218.67,0.26,00_00_09_00
Municipality_Structural_Damage,G&Wp,average,20,11,759.5,0.91,00_00_11_00
Municipality_Structural_Damage,G&Wp,average,20,13,688.28,0.83,00_00_13_00
Municipality_Structural_Damage,G&Wp,average,60,00,2968.39,0.79,00_00_00_00
Municipality_Structural_Damage,G&Wp,average,60,01,2482.25,0.67,00_00_01_00
Municipality_Structural_Damage,G&Wp,average,60,03,2421.88,0.65,00_00_03_00
Municipality_Structural_Damage,G&Wp,average,60,05,897.51,0.24,00_00_05_00
Municipality_Structural_Damage,G&Wp,average,60,07,1107.79,0.3,00_00_07_00
Municipality_Structural_Damage,G&Wp,average,60,09,842.06,0.23,00_00_09_00
Municipality_Structural_Damage,G&Wp,average,60,11,2673.83,0.71,00_00_11_00
Municipality_Structural_Damage,G&Wp,average,60,13,2304.08,0.62,00_00_13_00
Municipality_Structural_Damage,G&Wp,average,100,00,4669.01,0.58,00_00_00_00
Municipality_Structural_Damage,G&Wp,average,100,01,2662.73,0.33,00_00_01_00
Municipality_Structural_Damage,G&Wp,average,100,03,2601.29,0.33,00_00_03_00
Municipality_Structural_Damage,G&Wp,average,100,05,939.92,0.12,00_00_05_00
Municipality_Structural_Damage,G&Wp,average,100,07,1156.01,0.14,00_00_07_00
Municipality_Structural_Damage,G&Wp,average,100,09,861.69,0.11,00_00_09_00
Municipality_Structural_Damage,G&Wp,average,100,11,3183.82,0.4,00_00_11_00
Municipality_Structural_Damage,G&Wp,average,100,13,2567.06,0.32,00_00_13_00
Municipality_Structural_Damage,Wp,average,20,00,798.94,0.91,00_00_00_00
Municipality_Structural_Damage,Wp,average,20,01,777.47,0.89,00_00_01_00
Municipality_Structural_Damage,Wp,average,20,03,739.25,0.84,00_00_03_00
Municipality_Structural_Damage,Wp,average,20,05,217.0,0.25,00_00_05_00
Municipality_Structural_Damage,Wp,average,20,07,241.87,0.28,00_00_07_00
Municipality_Structural_Damage,Wp,average,20,09,217.0,0.25,00_00_09_00
Municipality_Structural_Damage,Wp,average,20,11,797.28,0.91,00_00_11_00
Municipality_Structural_Damage,Wp,average,20,13,722.03,0.83,00_00_13_00
Municipality_Structural_Damage,Wp,average,60,00,3409.05,0.77,00_00_00_00
Municipality_Structural_Damage,Wp,average,60,01,2832.52,0.64,00_00_01_00
Municipality_Structural_Damage,Wp,average,60,03,2764.55,0.62,00_00_03_00
Municipality_Structural_Damage,Wp,average,60,05,985.21,0.22,00_00_05_00
Municipality_Structural_Damage,Wp,average,60,07,1201.98,0.27,00_00_07_00
Municipality_Structural_Damage,Wp,average,60,09,918.1,0.21,00_00_09_00
Municipality_Structural_Damage,Wp,average,60,11,3071.43,0.7,00_00_11_00
Municipality_Structural_Damage,Wp,average,60,13,2569.49,0.58,00_00_13_00
Municipality_Structural_Damage,Wp,average,100,00,5232.66,0.51,00_00_00_00
Municipality_Structural_Damage,Wp,average,100,01,2930.72,0.28,00_00_01_00
Municipality_Structural_Damage,Wp,average,100,03,2862.74,0.28,00_00_03_00
Municipality_Structural_Damage,Wp,average,100,05,1023.0,0.1,00_00_05_00
Municipality_Structural_Damage,Wp,average,100,07,1255.25,0.12,00_00_07_00
Municipality_Structural_Damage,Wp,average,100,09,957.38,0.09,00_00_09_00
Municipality_Structural_Damage,Wp,average,100,11,3513.15,0.34,00_00_11_00
Municipality_Structural_Damage,Wp,average,100,13,2748.07,0.27,00_00_13_00
